Video ID,Emotion_Percentages,Dominant Emotion
-TeeIEh2IE8,"{'joy': 26.497638578175494, 'anticipation': 17.946805866268953, 'trust': 16.55480984340045, 'surprise': 10.676112353964703, 'sadness': 10.017399950285856, 'disgust': 6.13969674372359, 'fear': 6.102411135968183, 'anger': 6.065125528212777}",anticipation
-zkOLKMiX9c,"{'joy': 37.34110169491525, 'trust': 17.002118644067796, 'anticipation': 15.51906779661017, 'surprise': 8.315677966101696, 'sadness': 7.680084745762712, 'fear': 5.031779661016949, 'disgust': 4.713983050847458, 'anger': 4.396186440677966}",joy
0K9eZCW-lvc,"{'joy': 35.56686457449816, 'trust': 20.243143907266045, 'anticipation': 16.20016963528414, 'surprise': 9.188577890867968, 'sadness': 6.502685891998869, 'disgust': 4.467062482329657, 'fear': 4.26915465083404, 'anger': 3.5623409669211195}",joy
0_BEwbnmRZ4,"{'joy': 29.987569919204475, 'trust': 15.351149782473586, 'anticipation': 13.175885643256683, 'sadness': 10.596643878185208, 'surprise': 9.633312616532006, 'fear': 8.110627719080174, 'anger': 7.147296457426973, 'disgust': 5.997513983840895}",surprise
5WH-PSs9hI8,"{'joy': 40.27269704023944, 'trust': 18.656468240771535, 'anticipation': 15.729963418689724, 'surprise': 7.959206296419466, 'sadness': 5.786498170934486, 'anger': 4.223478550049883, 'disgust': 3.7246425008313935, 'fear': 3.6470457820640725}",joy
5vNoHwgoIjw,"{'joy': 34.00600835945664, 'trust': 18.24712643678161, 'anticipation': 16.30094043887147, 'surprise': 8.581504702194358, 'sadness': 6.772466039707418, 'fear': 5.910397074190177, 'anger': 5.172413793103448, 'disgust': 5.00914315569488}",joy
5zvsAwsEwPg,"{'joy': 46.72479795831561, 'trust': 18.43896214376861, 'anticipation': 14.908549553381539, 'surprise': 8.54955338153977, 'sadness': 5.7422373458102935, 'fear': 2.4457677584006805, 'disgust': 1.6801361122926413, 'anger': 1.5099957464908549}",joy
7R2RyqU4hjI,"{'joy': 26.590974143688577, 'trust': 18.43335559584009, 'anticipation': 16.067169163247783, 'surprise': 10.97223547371434, 'sadness': 8.625131189771968, 'fear': 7.060395000477055, 'anger': 6.440225169354069, 'disgust': 5.810514263906116}",surprise
7Z76MiQv0zg,"{'joy': 34.947253184713375, 'trust': 18.864450636942674, 'anticipation': 15.724522292993631, 'surprise': 10.434912420382165, 'sadness': 6.374402866242038, 'disgust': 5.000995222929936, 'anger': 4.796974522292994, 'fear': 3.8564888535031843}",joy
7cGmj0AR3z8,"{'joy': 29.03225806451613, 'trust': 17.105263157894736, 'anticipation': 15.449915110356535, 'sadness': 9.168081494057725, 'surprise': 8.064516129032258, 'anger': 7.555178268251274, 'fear': 7.130730050933787, 'disgust': 6.494057724957555}",sadness
80z6drP0NY8,"{'joy': 21.535631188788486, 'anticipation': 18.857204696715545, 'trust': 18.500081164439152, 'sadness': 9.577403820139603, 'fear': 8.62507440073589, 'anger': 8.403224933715709, 'disgust': 7.380553000378767, 'surprise': 7.120826795086846}",anticipation
8MkcEzfyCFM,"{'joy': 29.445783132530117, 'anticipation': 17.927710843373493, 'trust': 16.289156626506024, 'surprise': 11.6144578313253, 'sadness': 10.891566265060241, 'anger': 5.204819277108434, 'fear': 4.626506024096385, 'disgust': 4.0}",anticipation
9KapEXWynrA,"{'joy': 36.55849056603774, 'trust': 18.369811320754717, 'anticipation': 16.0, 'surprise': 7.9245283018867925, 'sadness': 6.173584905660377, 'fear': 5.313207547169811, 'disgust': 4.845283018867925, 'anger': 4.815094339622641}",joy
9OvibwfflDg,"{'joy': 40.878309049866616, 'trust': 16.765852657500513, 'anticipation': 14.487995074902523, 'surprise': 7.757028524522881, 'sadness': 5.992201928996511, 'anger': 5.1713523496819205, 'disgust': 4.719885081058896, 'fear': 4.227375333470142}",joy
9p9sGtV4UoU,"{'joy': 33.771186440677965, 'trust': 17.415254237288135, 'anticipation': 15.76271186440678, 'surprise': 9.152542372881356, 'sadness': 7.584745762711864, 'disgust': 7.203389830508475, 'anger': 4.745762711864407, 'fear': 4.364406779661016}",joy
ATGZ58IRwfE,"{'joy': 38.06949806949807, 'trust': 16.80823680823681, 'anticipation': 15.804375804375804, 'surprise': 8.674388674388675, 'sadness': 6.048906048906049, 'fear': 4.967824967824968, 'anger': 4.864864864864865, 'disgust': 4.761904761904762}",joy
AkTkUOOCZ-w,"{'joy': 33.022533022533025, 'trust': 19.114219114219114, 'anticipation': 15.306915306915306, 'surprise': 9.013209013209012, 'sadness': 7.614607614607614, 'fear': 5.827505827505827, 'anger': 5.516705516705517, 'disgust': 4.584304584304584}",joy
AwhBTrzzqeg,"{'joy': 32.645817722916746, 'trust': 18.87841621642939, 'anticipation': 14.867689395433214, 'surprise': 8.088496273218441, 'sadness': 6.692432070039832, 'anger': 6.589896281105808, 'fear': 6.459754702843397, 'disgust': 5.777497338013172}",joy
Axg27gwEqCE,"{'joy': 34.70055844405931, 'trust': 16.93305090185506, 'anticipation': 14.070222735734001, 'surprise': 8.748956929199563, 'sadness': 7.587136529944155, 'anger': 6.35470826112074, 'fear': 5.988831118813788, 'disgust': 5.616535079273381}",joy
BDA6rPA0Fcs,"{'joy': 27.410536779324058, 'anticipation': 17.2713717693837, 'trust': 16.94831013916501, 'surprise': 10.064612326043736, 'sadness': 8.026838966202783, 'disgust': 7.256461232604374, 'anger': 6.858846918489066, 'fear': 6.163021868787276}",anticipation
D-qQneOnJl0,"{'joy': 25.59683350994203, 'trust': 17.989154148226643, 'anticipation': 17.746057470547903, 'surprise': 9.256373496228886, 'anger': 8.922894720438821, 'disgust': 7.031103908246587, 'sadness': 6.822290095368697, 'fear': 6.635292651000436}",anticipation
D_gkHpZ2oRI,"{'joy': 32.67477203647417, 'trust': 19.50354609929078, 'anticipation': 14.58966565349544, 'surprise': 7.700101317122594, 'disgust': 6.838905775075988, 'sadness': 6.5856129685916915, 'anger': 6.231003039513678, 'fear': 5.8763931104356635}",joy
EB_Z-8kBNm8,"{'joy': 34.8469387755102, 'trust': 18.21428571428571, 'anticipation': 16.071428571428573, 'sadness': 8.928571428571429, 'surprise': 8.724489795918368, 'disgust': 4.795918367346939, 'fear': 4.23469387755102, 'anger': 4.183673469387755}",joy
EobMnSpjfTU,"{'joy': 31.905530291917266, 'trust': 18.160481150066012, 'anticipation': 16.12146105324923, 'surprise': 7.987384479976529, 'sadness': 7.356608478802992, 'disgust': 6.747836291623882, 'anger': 5.904356755170896, 'fear': 5.816341499193194}",disgust
ExTP2rYqguE,"{'joy': 35.010385414262636, 'trust': 19.01684744980383, 'anticipation': 15.255019616893605, 'surprise': 8.423724901915532, 'sadness': 7.500576967459035, 'anger': 5.400415416570505, 'fear': 4.731133164089545, 'disgust': 4.661897069005308}",joy
FIDsKWis3jo,"{'joy': 32.83139534883721, 'trust': 18.226744186046513, 'anticipation': 15.83139534883721, 'surprise': 7.924418604651162, 'sadness': 7.3313953488372094, 'fear': 6.122093023255814, 'anger': 5.970930232558139, 'disgust': 5.761627906976744}",joy
GiYK_6FxNts,"{'joy': 22.31177511303322, 'trust': 19.16650285040299, 'anticipation': 15.903282877924122, 'sadness': 9.84863377236092, 'anger': 9.455474739532141, 'surprise': 8.629840770591704, 'fear': 7.352073913898172, 'disgust': 7.332415962256733}",trust
HphRKCxIK_Q,"{'joy': 33.79833578071463, 'trust': 19.48115516397455, 'anticipation': 15.051395007342144, 'surprise': 8.443465491923643, 'sadness': 7.244248653940284, 'disgust': 5.457660303475281, 'anger': 5.4331864904552125, 'fear': 5.090553108174253}",joy
IxlzRwNX63A,"{'joy': 38.43989769820972, 'anticipation': 16.982097186700766, 'trust': 14.987212276214834, 'sadness': 9.974424552429667, 'surprise': 9.948849104859335, 'fear': 3.4782608695652173, 'disgust': 3.29923273657289, 'anger': 2.8900255754475705}",joy
JKUWL85Betk,"{'joy': 30.971128608923888, 'trust': 19.42257217847769, 'anticipation': 16.447944006999123, 'sadness': 9.973753280839896, 'surprise': 6.386701662292213, 'fear': 5.94925634295713, 'disgust': 5.511811023622047, 'anger': 5.336832895888014}",trust
Jzqu48uup54,"{'trust': 28.310607811416688, 'joy': 18.881442107695865, 'anticipation': 16.801479084816272, 'sadness': 8.874508897619599, 'anger': 7.8345273861798015, 'fear': 7.25675987982436, 'disgust': 6.309221169401432, 'surprise': 5.731453663045991}",anticipation
KHfP3InQc94,"{'joy': 29.22811421399435, 'trust': 20.524788202070912, 'anticipation': 17.249764668967682, 'surprise': 8.59742704737998, 'sadness': 7.424694069657986, 'fear': 6.291182930655789, 'disgust': 5.859742704737998, 'anger': 4.8242861625353}",anticipation
KIqQ0gowzt4,"{'joy': 37.58710206312338, 'trust': 17.90545156442137, 'anticipation': 15.220658559912556, 'surprise': 8.49159721273398, 'sadness': 6.127886323268205, 'fear': 5.779478070774696, 'anger': 5.028009290886733, 'disgust': 3.859816914879082}",joy
KuYsILv6Fd0,"{'joy': 34.267413931144915, 'trust': 18.06778756338404, 'anticipation': 15.505737923672273, 'surprise': 7.499332799572992, 'sadness': 7.472644782492662, 'fear': 6.511876167600747, 'disgust': 5.657859621030157, 'anger': 5.017347211102216}",joy
KyI8i1-cN8s,"{'joy': 25.877303711184048, 'trust': 20.31052764453421, 'anticipation': 17.470335773794496, 'sadness': 8.280737187578895, 'surprise': 7.586468063620298, 'anger': 7.031052764453421, 'fear': 6.980560464529159, 'disgust': 6.463014390305479}",anticipation
Li8ubUzLB90,"{'joy': 37.00980392156863, 'trust': 16.42156862745098, 'anticipation': 15.441176470588236, 'surprise': 9.558823529411764, 'sadness': 6.61764705882353, 'fear': 6.127450980392156, 'disgust': 5.147058823529411, 'anger': 3.6764705882352944}",joy
LpVraZRIjrY,"{'joy': 30.72303627191929, 'anticipation': 17.12707182320442, 'trust': 15.565697814076387, 'surprise': 10.353110737448954, 'sadness': 7.734806629834254, 'disgust': 6.29353831371607, 'anger': 6.173432620706222, 'fear': 6.029305789094403}",anticipation
NXrwxbxeqCE,"{'joy': 35.5977229601518, 'trust': 17.685009487666033, 'anticipation': 15.06641366223909, 'surprise': 8.38709677419355, 'sadness': 7.969639468690702, 'anger': 5.1233396584440225, 'disgust': 5.1233396584440225, 'fear': 5.047438330170778}",joy
P-7mzzWtnVQ,"{'joy': 33.61234632487575, 'trust': 17.970180486528903, 'anticipation': 16.766936960502225, 'surprise': 9.469003400470836, 'anger': 6.957886476589066, 'disgust': 5.806957886476589, 'sadness': 5.309965995291656, 'fear': 4.106722469264975}",joy
PKAM4M9OET8,"{'joy': 40.846824408468244, 'trust': 20.298879202988793, 'anticipation': 12.577833125778332, 'surprise': 7.721046077210461, 'sadness': 6.226650062266501, 'disgust': 5.230386052303861, 'anger': 3.61145703611457, 'fear': 3.4869240348692405}",joy
PWnDS45iDj4,"{'joy': 27.415183325726456, 'trust': 19.443176631675037, 'anticipation': 17.434961204929255, 'surprise': 9.097824433287691, 'fear': 7.287387798569907, 'sadness': 7.013540240377301, 'anger': 6.374562604594554, 'disgust': 5.933363760839799}",anticipation
PqpCeiYycVM,"{'joy': 29.07134202836576, 'anticipation': 15.501389779773358, 'trust': 15.394483643361129, 'surprise': 9.650060580143967, 'anger': 8.331551564393129, 'sadness': 8.203264200698454, 'fear': 7.918181170265839, 'disgust': 5.929727032998361}",surprise
Pt_5Faa_J-U,"{'joy': 29.066194953914902, 'trust': 17.36337398752444, 'anticipation': 16.925798342798622, 'surprise': 9.542873103063028, 'sadness': 7.960152685969649, 'fear': 7.057071036216367, 'anger': 6.675356112093846, 'disgust': 5.4091797784191415}",anticipation
QMCR45FyfzU,"{'joy': 29.206770660471292, 'trust': 19.43245934284766, 'anticipation': 17.57384666445403, 'surprise': 8.38035180882841, 'sadness': 7.567208762031198, 'fear': 6.173249253235977, 'anger': 5.874543644208431, 'disgust': 5.791569863923001}",anticipation
Qc0iJpQcdis,"{'joy': 35.578947368421055, 'trust': 18.842105263157894, 'anticipation': 13.263157894736842, 'anger': 7.684210526315789, 'sadness': 7.473684210526316, 'surprise': 7.2631578947368425, 'disgust': 5.684210526315789, 'fear': 4.2105263157894735}",joy
QvoPw_5Sz8U,"{'joy': 34.77188655980271, 'trust': 19.728729963008632, 'anticipation': 15.782983970406905, 'surprise': 8.508014796547473, 'sadness': 6.535141800246609, 'anger': 5.425400739827373, 'disgust': 5.178791615289765, 'fear': 4.069050554870531}",joy
RDn0K9UzCpc,"{'joy': 36.995780590717295, 'trust': 16.40506329113924, 'anticipation': 15.358649789029535, 'sadness': 8.0, 'surprise': 7.864978902953587, 'fear': 5.721518987341772, 'anger': 4.928270042194092, 'disgust': 4.725738396624473}",joy
RF-Mqs2qC-M,"{'trust': 19.449284918130584, 'joy': 17.499489787908757, 'anticipation': 15.565393491263599, 'anger': 10.819636101037693, 'sadness': 10.064522206000094, 'disgust': 9.378483178699822, 'fear': 9.128871724830844, 'surprise': 8.094318592128605}",trust
RNjlfo_8u4s,"{'joy': 25.77854671280277, 'anticipation': 19.492502883506344, 'trust': 16.878123798539026, 'surprise': 9.554017685505576, 'sadness': 9.15032679738562, 'fear': 7.208765859284891, 'disgust': 6.747404844290658, 'anger': 5.190311418685121}",anticipation
RjVfU9WcPxE,"{'joy': 29.500594530321045, 'trust': 19.120095124851368, 'anticipation': 17.265160523186683, 'surprise': 7.954815695600476, 'sadness': 7.5267538644470875, 'anger': 6.373365041617123, 'fear': 6.206896551724138, 'disgust': 6.052318668252081}",anticipation
S1_L6RGDggk,"{'joy': 29.141716566866265, 'trust': 18.283433133732537, 'anticipation': 16.886227544910177, 'sadness': 9.181636726546905, 'surprise': 8.70259481037924, 'anger': 6.58682634730539, 'fear': 6.107784431137724, 'disgust': 5.1097804391217565}",anticipation
SVO-iq2bjTQ,"{'joy': 36.87315634218289, 'trust': 16.906342182890853, 'anticipation': 15.43141592920354, 'surprise': 8.314896755162241, 'sadness': 7.817109144542774, 'fear': 5.272861356932154, 'disgust': 4.738200589970502, 'anger': 4.646017699115045}",joy
