Video ID,Top_3_Emotions
-TeeIEh2IE8,"[('positive', 2959), ('joy', 2132), ('anticipation', 1444), ('trust', 1332), ('negative', 1090), ('surprise', 859), ('sadness', 806), ('disgust', 494)]"
-zkOLKMiX9c,"[('positive', 921), ('joy', 705), ('trust', 321), ('anticipation', 293), ('negative', 194), ('surprise', 157), ('sadness', 145), ('fear', 95)]"
0K9eZCW-lvc,"[('positive', 1762), ('joy', 1258), ('trust', 716), ('anticipation', 573), ('surprise', 325), ('negative', 284), ('sadness', 230), ('disgust', 158)]"
0_BEwbnmRZ4,"[('positive', 1475), ('joy', 965), ('negative', 538), ('trust', 494), ('anticipation', 424), ('sadness', 341), ('surprise', 310), ('fear', 261)]"
5WH-PSs9hI8,"[('positive', 4639), ('joy', 3633), ('trust', 1683), ('anticipation', 1419), ('negative', 898), ('surprise', 718), ('sadness', 522), ('anger', 381)]"
5vNoHwgoIjw,"[('positive', 6933), ('joy', 5207), ('trust', 2794), ('anticipation', 2496), ('negative', 1639), ('surprise', 1314), ('sadness', 1037), ('fear', 905)]"
5zvsAwsEwPg,"[('positive', 2706), ('joy', 2197), ('trust', 867), ('anticipation', 701), ('surprise', 402), ('sadness', 270), ('negative', 200), ('fear', 115)]"
7R2RyqU4hjI,"[('positive', 4315), ('joy', 2787), ('trust', 1932), ('anticipation', 1684), ('negative', 1380), ('surprise', 1150), ('sadness', 904), ('fear', 740)]"
7Z76MiQv0zg,"[('positive', 8970), ('joy', 7023), ('trust', 3791), ('anticipation', 3160), ('surprise', 2097), ('negative', 1459), ('sadness', 1281), ('disgust', 1005)]"
7cGmj0AR3z8,"[('positive', 995), ('joy', 684), ('trust', 403), ('anticipation', 364), ('negative', 307), ('sadness', 216), ('surprise', 190), ('anger', 178)]"
80z6drP0NY8,"[('positive', 6485), ('joy', 3980), ('anticipation', 3485), ('trust', 3419), ('negative', 3174), ('sadness', 1770), ('fear', 1594), ('anger', 1553)]"
8MkcEzfyCFM,"[('positive', 863), ('joy', 611), ('anticipation', 372), ('trust', 338), ('surprise', 241), ('sadness', 226), ('negative', 207), ('anger', 108)]"
9KapEXWynrA,"[('positive', 3280), ('joy', 2422), ('trust', 1217), ('anticipation', 1060), ('negative', 854), ('surprise', 525), ('sadness', 409), ('fear', 352)]"
9OvibwfflDg,"[('positive', 2574), ('joy', 1992), ('trust', 817), ('anticipation', 706), ('negative', 514), ('surprise', 378), ('sadness', 292), ('anger', 252)]"
9p9sGtV4UoU,"[('positive', 1074), ('joy', 797), ('trust', 411), ('anticipation', 372), ('negative', 299), ('surprise', 216), ('sadness', 179), ('disgust', 170)]"
ATGZ58IRwfE,"[('positive', 1901), ('joy', 1479), ('trust', 653), ('anticipation', 614), ('negative', 342), ('surprise', 337), ('sadness', 235), ('fear', 193)]"
AkTkUOOCZ-w,"[('positive', 578), ('joy', 425), ('trust', 246), ('anticipation', 197), ('negative', 140), ('surprise', 116), ('sadness', 98), ('fear', 75)]"
AwhBTrzzqeg,"[('positive', 11498), ('joy', 8278), ('trust', 4787), ('anticipation', 3770), ('negative', 3418), ('surprise', 2051), ('sadness', 1697), ('anger', 1671)]"
Axg27gwEqCE,"[('positive', 7126), ('joy', 5406), ('trust', 2638), ('anticipation', 2192), ('negative', 1764), ('surprise', 1363), ('sadness', 1182), ('anger', 990)]"
BDA6rPA0Fcs,"[('positive', 1567), ('joy', 1103), ('anticipation', 695), ('trust', 682), ('negative', 537), ('surprise', 405), ('sadness', 323), ('disgust', 292)]"
D-qQneOnJl0,"[('positive', 11134), ('joy', 8213), ('trust', 5772), ('anticipation', 5694), ('negative', 4103), ('surprise', 2970), ('anger', 2863), ('disgust', 2256)]"
D_gkHpZ2oRI,"[('positive', 879), ('joy', 645), ('trust', 385), ('anticipation', 288), ('negative', 187), ('surprise', 152), ('disgust', 135), ('sadness', 130)]"
EB_Z-8kBNm8,"[('positive', 974), ('joy', 683), ('trust', 357), ('anticipation', 315), ('negative', 195), ('sadness', 175), ('surprise', 171), ('disgust', 94)]"
EobMnSpjfTU,"[('positive', 5892), ('joy', 4350), ('trust', 2476), ('anticipation', 2198), ('negative', 1608), ('surprise', 1089), ('sadness', 1003), ('disgust', 920)]"
ExTP2rYqguE,"[('positive', 2070), ('joy', 1517), ('trust', 824), ('anticipation', 661), ('negative', 455), ('surprise', 365), ('sadness', 325), ('anger', 234)]"
FIDsKWis3jo,"[('positive', 7639), ('joy', 5647), ('trust', 3135), ('anticipation', 2723), ('negative', 2096), ('surprise', 1363), ('sadness', 1261), ('fear', 1053)]"
GiYK_6FxNts,"[('positive', 1831), ('joy', 1135), ('negative', 1011), ('trust', 975), ('anticipation', 809), ('sadness', 501), ('anger', 481), ('surprise', 439)]"
HphRKCxIK_Q,"[('positive', 1894), ('joy', 1381), ('trust', 796), ('anticipation', 615), ('negative', 511), ('surprise', 345), ('sadness', 296), ('disgust', 223)]"
IxlzRwNX63A,"[('positive', 2016), ('joy', 1503), ('anticipation', 664), ('trust', 586), ('sadness', 390), ('surprise', 389), ('negative', 306), ('fear', 136)]"
JKUWL85Betk,"[('positive', 509), ('joy', 354), ('trust', 222), ('anticipation', 188), ('negative', 184), ('sadness', 114), ('surprise', 73), ('fear', 68)]"
Jzqu48uup54,"[('positive', 1916), ('trust', 1225), ('joy', 817), ('anticipation', 727), ('negative', 639), ('sadness', 384), ('anger', 339), ('fear', 314)]"
KHfP3InQc94,"[('positive', 11152), ('joy', 7452), ('trust', 5233), ('anticipation', 4398), ('negative', 3121), ('surprise', 2192), ('sadness', 1893), ('fear', 1604)]"
KIqQ0gowzt4,"[('positive', 7314), ('joy', 5502), ('trust', 2621), ('anticipation', 2228), ('negative', 1576), ('surprise', 1243), ('sadness', 897), ('fear', 846)]"
KuYsILv6Fd0,"[('positive', 1725), ('joy', 1284), ('trust', 677), ('anticipation', 581), ('negative', 450), ('surprise', 281), ('sadness', 280), ('fear', 244)]"
KyI8i1-cN8s,"[('positive', 3312), ('joy', 2050), ('trust', 1609), ('anticipation', 1384), ('negative', 1168), ('sadness', 656), ('surprise', 601), ('anger', 557)]"
Li8ubUzLB90,"[('positive', 203), ('joy', 151), ('trust', 67), ('anticipation', 63), ('negative', 40), ('surprise', 39), ('sadness', 27), ('fear', 25)]"
LpVraZRIjrY,"[('positive', 1840), ('joy', 1279), ('anticipation', 713), ('trust', 648), ('negative', 484), ('surprise', 431), ('sadness', 322), ('disgust', 262)]"
NXrwxbxeqCE,"[('positive', 1221), ('joy', 938), ('trust', 466), ('anticipation', 397), ('negative', 351), ('surprise', 221), ('sadness', 210), ('anger', 135)]"
P-7mzzWtnVQ,"[('positive', 1632), ('joy', 1285), ('trust', 687), ('anticipation', 641), ('surprise', 362), ('negative', 334), ('anger', 266), ('disgust', 222)]"
PKAM4M9OET8,"[('positive', 443), ('joy', 328), ('trust', 163), ('anticipation', 101), ('negative', 89), ('surprise', 62), ('sadness', 50), ('disgust', 42)]"
PWnDS45iDj4,"[('positive', 2862), ('joy', 1802), ('trust', 1278), ('anticipation', 1146), ('negative', 873), ('surprise', 598), ('fear', 479), ('sadness', 461)]"
PqpCeiYycVM,"[('positive', 5548), ('joy', 4079), ('anticipation', 2175), ('trust', 2160), ('negative', 1769), ('surprise', 1354), ('anger', 1169), ('sadness', 1151)]"
Pt_5Faa_J-U,"[('positive', 4381), ('joy', 3122), ('trust', 1865), ('anticipation', 1818), ('negative', 1479), ('surprise', 1025), ('sadness', 855), ('fear', 758)]"
QMCR45FyfzU,"[('positive', 2716), ('joy', 1760), ('trust', 1171), ('anticipation', 1059), ('negative', 740), ('surprise', 505), ('sadness', 456), ('fear', 372)]"
Qc0iJpQcdis,"[('positive', 457), ('joy', 338), ('trust', 179), ('anticipation', 126), ('negative', 123), ('anger', 73), ('sadness', 71), ('surprise', 69)]"
QvoPw_5Sz8U,"[('positive', 411), ('joy', 282), ('trust', 160), ('anticipation', 128), ('negative', 90), ('surprise', 69), ('sadness', 53), ('anger', 44)]"
RDn0K9UzCpc,"[('positive', 2838), ('joy', 2192), ('trust', 972), ('anticipation', 910), ('negative', 777), ('sadness', 474), ('surprise', 466), ('fear', 339)]"
RF-Mqs2qC-M,"[('positive', 18778), ('negative', 12843), ('trust', 12389), ('joy', 11147), ('anticipation', 9915), ('anger', 6892), ('sadness', 6411), ('disgust', 5974)]"
RNjlfo_8u4s,"[('positive', 2023), ('joy', 1341), ('anticipation', 1014), ('trust', 878), ('negative', 777), ('surprise', 497), ('sadness', 476), ('fear', 375)]"
RjVfU9WcPxE,"[('positive', 3441), ('joy', 2481), ('trust', 1608), ('anticipation', 1452), ('negative', 1218), ('surprise', 669), ('sadness', 633), ('anger', 536)]"
S1_L6RGDggk,"[('positive', 1105), ('joy', 730), ('trust', 458), ('anticipation', 423), ('negative', 373), ('sadness', 230), ('surprise', 218), ('anger', 165)]"
SVO-iq2bjTQ,"[('positive', 2647), ('joy', 2000), ('trust', 917), ('anticipation', 837), ('negative', 552), ('surprise', 451), ('sadness', 424), ('fear', 286)]"
SrlAlMsdr3g,"[('positive', 7335), ('joy', 5552), ('trust', 3048), ('anticipation', 2854), ('negative', 2276), ('surprise', 1606), ('disgust', 1282), ('anger', 1264)]"
TPEdTajhR6A,"[('positive', 2345), ('joy', 1767), ('trust', 950), ('anticipation', 823), ('negative', 540), ('surprise', 430), ('sadness', 396), ('fear', 269)]"
UAUfo6KY1wg,"[('positive', 1261), ('joy', 906), ('trust', 588), ('anticipation', 447), ('negative', 346), ('sadness', 205), ('surprise', 201), ('anger', 148)]"
UYEWJcmWKGQ,"[('positive', 4007), ('joy', 3362), ('trust', 1330), ('anticipation', 1107), ('surprise', 600), ('sadness', 417), ('negative', 379), ('fear', 209)]"
VTPdktgrtF8,"[('positive', 985), ('joy', 658), ('trust', 453), ('anticipation', 421), ('negative', 323), ('fear', 168), ('sadness', 163), ('surprise', 150)]"
VabOWgtG2D4,"[('positive', 1518), ('joy', 1131), ('trust', 567), ('anticipation', 495), ('negative', 353), ('surprise', 247), ('sadness', 231), ('fear', 176)]"
VxvfhuxOE1I,"[('positive', 1471), ('joy', 1025), ('trust', 667), ('anticipation', 568), ('negative', 446), ('surprise', 314), ('sadness', 307), ('disgust', 255)]"
VyEf4EBXe8o,"[('positive', 6697), ('negative', 4494), ('joy', 4119), ('anticipation', 3347), ('trust', 3308), ('anger', 2403), ('sadness', 1883), ('fear', 1798)]"
VylU-ueLA_g,"[('positive', 392), ('joy', 244), ('trust', 191), ('anticipation', 162), ('negative', 152), ('sadness', 76), ('anger', 72), ('surprise', 68)]"
X89WJTXA8KQ,"[('positive', 1347), ('joy', 1039), ('trust', 442), ('anticipation', 424), ('surprise', 218), ('negative', 181), ('sadness', 139), ('disgust', 105)]"
XNrTIQjHuKs,"[('positive', 2712), ('joy', 1813), ('trust', 1024), ('anticipation', 956), ('negative', 848), ('surprise', 483), ('anger', 426), ('fear', 391)]"
XxPPdlo72ho,"[('positive', 1088), ('joy', 801), ('trust', 316), ('anticipation', 290), ('surprise', 187), ('negative', 182), ('sadness', 111), ('fear', 97)]"
YQC7OtyHhxU,"[('positive', 2905), ('joy', 2187), ('trust', 1136), ('anticipation', 1036), ('negative', 679), ('surprise', 533), ('sadness', 475), ('fear', 350)]"
_Jqi9k3tXoQ,"[('positive', 738), ('joy', 502), ('trust', 265), ('anticipation', 234), ('negative', 193), ('sadness', 128), ('surprise', 111), ('fear', 87)]"
_Zr3ObadDnI,"[('positive', 4017), ('joy', 2692), ('trust', 1563), ('anticipation', 1503), ('negative', 1009), ('surprise', 737), ('sadness', 638), ('anger', 489)]"
aB7JCNRI3rY,"[('positive', 1550), ('joy', 1097), ('trust', 536), ('anticipation', 442), ('surprise', 266), ('negative', 223), ('sadness', 185), ('fear', 117)]"
aTSgJgRnqG0,"[('positive', 2316), ('joy', 1668), ('anticipation', 993), ('trust', 783), ('negative', 664), ('surprise', 418), ('sadness', 360), ('fear', 329)]"
eOfOrQJWeP0,"[('positive', 224), ('joy', 140), ('negative', 106), ('trust', 85), ('anticipation', 84), ('sadness', 49), ('anger', 45), ('fear', 35)]"
eyUs2JgrV9E,"[('positive', 7468), ('joy', 5841), ('trust', 3026), ('anticipation', 2655), ('surprise', 1461), ('negative', 1453), ('sadness', 1247), ('fear', 824)]"
fsYZye1Ykao,"[('positive', 1138), ('joy', 825), ('trust', 395), ('negative', 341), ('anticipation', 319), ('sadness', 240), ('surprise', 188), ('fear', 113)]"
gKUyX7cjum4,"[('positive', 8261), ('joy', 6141), ('trust', 2583), ('anticipation', 2309), ('negative', 1416), ('surprise', 1298), ('sadness', 991), ('fear', 770)]"
gO_gm74yiUY,"[('positive', 6263), ('joy', 4631), ('trust', 2529), ('anticipation', 2289), ('negative', 1730), ('surprise', 953), ('fear', 925), ('sadness', 886)]"
hJaXjItxL6w,"[('positive', 1380), ('joy', 859), ('trust', 720), ('negative', 702), ('anticipation', 683), ('anger', 357), ('sadness', 356), ('disgust', 334)]"
haK2TnmVoT0,"[('positive', 3341), ('joy', 2405), ('trust', 1598), ('anticipation', 1318), ('negative', 1145), ('surprise', 855), ('sadness', 566), ('anger', 483)]"
iY1UnR7z7P0,"[('positive', 1193), ('negative', 967), ('joy', 681), ('anticipation', 662), ('trust', 647), ('anger', 583), ('disgust', 535), ('sadness', 498)]"
jOzaz27K48E,"[('positive', 2132), ('joy', 1310), ('trust', 892), ('anticipation', 806), ('negative', 716), ('sadness', 514), ('surprise', 442), ('fear', 372)]"
jY3P-f6q-ZI,"[('positive', 1465), ('joy', 1045), ('trust', 529), ('anticipation', 446), ('negative', 288), ('surprise', 246), ('sadness', 204), ('disgust', 147)]"
jwfI8BlFwMw,"[('positive', 2374), ('joy', 1517), ('negative', 1380), ('trust', 1081), ('anticipation', 1028), ('disgust', 824), ('surprise', 506), ('sadness', 466)]"
kavjzsRtuuA,"[('positive', 1137), ('joy', 783), ('trust', 424), ('anticipation', 353), ('negative', 232), ('surprise', 207), ('sadness', 163), ('fear', 106)]"
l2mtebeR3rA,"[('positive', 12611), ('joy', 9039), ('trust', 5386), ('anticipation', 4716), ('negative', 3592), ('surprise', 2370), ('sadness', 2288), ('fear', 1718)]"
n50DZvVAulM,"[('positive', 4901), ('joy', 3507), ('trust', 2072), ('anticipation', 1880), ('negative', 1804), ('surprise', 1042), ('sadness', 978), ('disgust', 696)]"
ou3h0twV9TY,"[('positive', 378), ('joy', 252), ('trust', 115), ('negative', 107), ('anticipation', 101), ('sadness', 80), ('surprise', 71), ('anger', 68)]"
pJ8hLOkhl7M,"[('positive', 638), ('joy', 377), ('anticipation', 273), ('trust', 271), ('negative', 258), ('sadness', 159), ('fear', 153), ('surprise', 137)]"
qNthtD7KmiA,"[('positive', 721), ('joy', 510), ('anticipation', 208), ('trust', 205), ('negative', 197), ('surprise', 124), ('sadness', 117), ('disgust', 99)]"
qmHAvgEBnsk,"[('positive', 1730), ('joy', 996), ('trust', 796), ('anticipation', 615), ('negative', 489), ('disgust', 388), ('surprise', 301), ('sadness', 278)]"
rHyIOIstYRA,"[('positive', 5047), ('joy', 3355), ('negative', 1882), ('trust', 1810), ('anticipation', 1630), ('fear', 1053), ('sadness', 1002), ('disgust', 959)]"
sQTGkLW6fwg,"[('positive', 479), ('joy', 326), ('trust', 303), ('negative', 197), ('anticipation', 188), ('fear', 111), ('sadness', 104), ('surprise', 103)]"
uXYyyhUcFg4,"[('positive', 4436), ('joy', 2954), ('trust', 1837), ('anticipation', 1466), ('negative', 1167), ('sadness', 849), ('surprise', 800), ('disgust', 674)]"
uZDNGVmHxn4,"[('positive', 1867), ('joy', 1247), ('trust', 820), ('anticipation', 764), ('negative', 620), ('surprise', 390), ('sadness', 366), ('anger', 341)]"
ua0-5FZ2Eww,"[('positive', 3417), ('joy', 2132), ('trust', 1873), ('anticipation', 1592), ('negative', 1246), ('fear', 714), ('anger', 693), ('sadness', 684)]"
v293iGJ2PVY,"[('positive', 1557), ('joy', 1167), ('trust', 559), ('anticipation', 489), ('negative', 395), ('surprise', 264), ('anger', 236), ('disgust', 215)]"
vDD1lhHkGxk,"[('positive', 711), ('joy', 438), ('anticipation', 291), ('trust', 259), ('negative', 248), ('surprise', 169), ('sadness', 147), ('fear', 130)]"
vGqYP1sKJ2Y,"[('positive', 1457), ('joy', 974), ('negative', 633), ('anticipation', 501), ('trust', 496), ('surprise', 453), ('sadness', 287), ('fear', 283)]"
vvrjhuJrFVc,"[('positive', 4109), ('joy', 3285), ('trust', 1301), ('anticipation', 1119), ('surprise', 736), ('negative', 577), ('sadness', 464), ('disgust', 297)]"
vx09_4cEzlM,"[('positive', 6870), ('joy', 4635), ('trust', 2911), ('negative', 2800), ('anticipation', 2713), ('anger', 1597), ('surprise', 1559), ('sadness', 1526)]"
w4HmK4JCN2U,"[('positive', 1975), ('joy', 1440), ('trust', 782), ('anticipation', 733), ('surprise', 455), ('negative', 452), ('sadness', 329), ('fear', 238)]"
xT8n0uBIURk,"[('positive', 933), ('joy', 639), ('trust', 414), ('anticipation', 397), ('negative', 268), ('fear', 177), ('anger', 167), ('surprise', 166)]"
xqv0yo_Elj4,"[('positive', 297), ('joy', 190), ('trust', 98), ('anticipation', 76), ('negative', 61), ('surprise', 43), ('fear', 25), ('anger', 25)]"
yKn3Ur6_w3c,"[('positive', 2635), ('joy', 1887), ('trust', 969), ('anticipation', 848), ('negative', 763), ('surprise', 485), ('sadness', 436), ('anger', 376)]"
yjhibJ-OqxE,"[('positive', 11798), ('joy', 8244), ('trust', 4905), ('anticipation', 4702), ('negative', 3408), ('surprise', 2398), ('sadness', 2123), ('fear', 1664)]"
zEXXe9Ef_R8,"[('positive', 4880), ('joy', 3414), ('trust', 1974), ('anticipation', 1860), ('negative', 1782), ('sadness', 1033), ('surprise', 993), ('disgust', 958)]"
zPUSDU0hrwE,"[('positive', 713), ('joy', 538), ('trust', 241), ('anticipation', 164), ('surprise', 129), ('negative', 115), ('sadness', 90), ('fear', 64)]"
za-ogD7nLi8,"[('positive', 2648), ('joy', 1809), ('trust', 1133), ('negative', 948), ('anticipation', 940), ('surprise', 546), ('sadness', 524), ('fear', 358)]"
zgacuXdzCmw,"[('positive', 10595), ('joy', 7054), ('trust', 6461), ('anticipation', 5811), ('negative', 3018), ('fear', 2171), ('sadness', 1883), ('surprise', 1651)]"
